,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,0.613,0.562,0.519,0.537,0.519,0.521,0.586,0.599,0.586,0.632,0.546,0.577,0.599,0.586,0.623,0.623,0.636,0.586,0.537,0.601,0.699,0.593,0.568,0.545,0.598,0.543,0.469,0.438,0.414,0.457,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,0.595,0.463,0.426,0.420,0.543,0.589,0.580,0.457,0.500,0.460,0.460,0.466,0.574,0.543,0.562,0.593,0.636,0.630,0.562,0.534,0.454,0.401,0.481,0.462,0.436,0.420,0.593,0.519,0.636,0.611,0.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,0.491,0.407,0.438,0.389,0.451,0.448,0.500,0.630,0.599,0.571,0.564,0.546,0.525,0.543,0.531,0.531,0.494,0.531,0.401,0.472,0.460,0.420,0.414,0.476,0.462,0.599,0.432,0.481,0.475,0.414,0.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh,0.503,0.463,0.481,0.605,0.543,0.577,0.488,0.444,0.352,0.380,0.411,0.417,0.414,0.414,0.444,0.463,0.444,0.383,0.426,0.479,0.423,0.488,0.451,0.400,0.453,0.463,0.593,0.605,0.586,0.457,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,0.405,0.438,0.420,0.457,0.475,0.466,0.469,0.438,0.556,0.460,0.387,0.546,0.543,0.506,0.537,0.395,0.407,0.488,0.469,0.454,0.601,0.469,0.562,0.483,0.402,0.377,0.506,0.519,0.463,0.549,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,0.448,0.395,0.537,0.519,0.543,0.466,0.580,0.531,0.568,0.540,0.442,0.436,0.469,0.463,0.562,0.617,0.586,0.556,0.599,0.528,0.546,0.556,0.420,0.462,0.470,0.636,0.444,0.463,0.525,0.568,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle,0.546,0.481,0.531,0.469,0.537,0.436,0.463,0.414,0.377,0.521,0.374,0.540,0.481,0.426,0.389,0.574,0.574,0.716,0.562,0.485,0.466,0.556,0.525,0.545,0.419,0.506,0.395,0.512,0.475,0.451,0.420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Louis,0.540,0.512,0.531,0.617,0.556,0.595,0.543,0.556,0.531,0.558,0.528,0.479,0.512,0.617,0.648,0.525,0.599,0.574,0.586,0.460,0.509,0.451,0.543,0.428,0.453,0.537,0.512,0.519,0.432,0.531,0.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampa,0.552,0.494,0.420,0.494,0.475,0.564,0.556,0.562,0.593,0.515,0.595,0.405,0.377,0.414,0.432,0.389,0.340,0.383,0.426,0.423,0.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas,0.411,0.481,0.586,0.543,0.414,0.558,0.574,0.593,0.556,0.534,0.485,0.460,0.494,0.488,0.549,0.438,0.444,0.451,0.438,0.583,0.540,0.475,0.556,0.510,0.444,0.531,0.475,0.525,0.512,0.512,0.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,0.448,0.469,0.549,0.574,0.512,0.454,0.451,0.500,0.525,0.460,0.528,0.509,0.537,0.494,0.414,0.531,0.481,0.494,0.512,0.515,0.540,0.469,0.457,0.386,0.470,0.586,0.593,0.562,0.531,0.549,0.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,0.503,0.599,0.586,0.512,0.593,0.528,0.605,0.494,0.426,0.362,0.362,0.448,0.438,0.500,0.414,0.512,0.512,0.420,0.414,0.417,0.399,0.481,0.543,0.455,0.632,0.580,0.537,0.438,0.525,0.500,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
